Thời gian cập nhật,,12/06/2026,,"Logic thuộc 1 trong 4 trường hợp sau:

Tồn LM: Lượng đơn Backlogs LastMile trên tổng đơn GTC trung bình 7 ngày gần nhất (L7D) lớn hơn 2 (ngày).
Tồn KTC: Lượng đơn Backlogs KTC cùng tỉnh trên tổng đơn GTC trung bình 7 ngày gần nhất (L7D) lớn hơn 2 (ngày).
Tồn LM + Tồn KTC: Các bưu cục đồng thời thuộc cả 2 nhóm: Tồn LM và Tồn KTC
Tồn Aging >5 ngày: tỷ lệ đơn tồn trên 5 ngày chiếm từ 10% trở lên trên tổng lượng Backlogs LastMile.",,,,,,,,,,,,,,,,
Tổng số lượng bưu cục cảnh báo:,,10,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ngay,vung_giao,tinh_giao,kho_giao_id,kho_giao_name,warehouse_type,bl lm,bl lm >5 ngay,%bl lm >5 ngay,bl ktc,bl ktc cung tinh,%bl ktc cung tinh,tao_n1,tao_avg_7ngay,gtc_n1,gtc_avg_7ngay,gtc_max_7ngay,du_kien_clear_ton,tinh_hinh,ly_do_bat_on,Trạng thái
2026-06-11 07:30:36.897000,NTB,Khánh Hòa,20558000,Bưu Cục Tổ 5 Đường Ngô Gia Tự-Khánh Vĩnh-Khánh Hòa,BC,368,3,0.80%,216,35,0.162,237,273,267,245,310,2,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Lâm Đồng,22312000,Bưu Cục Số 6 Trương Văn Hoàn-Phường 9-Đà Lạt-Lâm Đồng,BC,1138,3,0.30%,442,37,0.084,681,895,889,836,1047,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Đắk Nông,20269003,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,BC,397,2,0.50%,227,20,0.088,235,311,232,279,367,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Khánh Hòa,20320000,Bưu Cục 466 Đường 23/10-Nha Trang-Khánh Hòa,BC,1313,10,0.80%,616,66,0.107,532,1001,997,928,1036,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Bình Thuận,20687000,Bưu Cục 46 Hùng Vương-Hàm Tân-Bình Thuận,BC,814,2,0.20%,354,41,0.116,580,678,538,601,762,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Bình Thuận,22934000,Bưu Cục 585 Nguyễn Tất Thành-Xã Lương Sơn-Bình Thuận,BC,560,5,0.90%,218,33,0.151,372,443,317,401,485,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Khánh Hòa,21498000,Kho Giao Hàng Nặng - Cam Ranh - Khánh Hoà,GXT,154,1,0.60%,100,47,0.47,147,148,145,112,145,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Lâm Đồng,22222000,Bưu Cục 337 Hùng Vương-Lộc Thắng-Bảo Lâm-Lâm Đồng ,BC,472,42,8.90%,307,153,0.498,225,360,391,333,456,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Đắk Nông,22086000,Bưu Cục Nâm N'Jang-Đắk Song-Đắk Nông,BC,379,5,1.30%,221,20,0.09,275,328,269,296,421,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Đắk Nông,20591000,Bưu Cục 73 Nguyễn Tất Thành-Krông Nô-Đắk Nông,BC,803,3,0.40%,293,56,0.191,628,688,682,639,710,1,Bình thường,,Bình thường
