Mã bưu cục,Mã đơn hàng,Loại đơn,Khách hàng,Trạng thái,Thời gian tồn đọng,warehouse_name
20785000,VNGH80909746902,Luân chuyển giao,TTS,Chưa đóng kiện,0_6,Bưu Cục 95A Đội Cấn-Bảo Lộc-Lâm Đồng
20785000,VNGH80829016902,Luân chuyển giao,TTS,Chưa đóng kiện,0_6,Bưu Cục 95A Đội Cấn-Bảo Lộc-Lâm Đồng
20785000,VNGH80205696903,Luân chuyển giao,TTS,Chưa đóng kiện,0_6,Bưu Cục 95A Đội Cấn-Bảo Lộc-Lâm Đồng
20785000,VNGH80732616902,Luân chuyển giao,TTS,Chưa đóng kiện,0_6,Bưu Cục 95A Đội Cấn-Bảo Lộc-Lâm Đồng
20785000,VNGH80600716904,Luân chuyển giao,TTS,Chưa đóng kiện,0_6,Bưu Cục 95A Đội Cấn-Bảo Lộc-Lâm Đồng
20785000,VNGH80596736902,Luân chuyển giao,TTS,Chưa đóng kiện,0_6,Bưu Cục 95A Đội Cấn-Bảo Lộc-Lâm Đồng
20785000,VNGH80106496903,Luân chuyển giao,TTS,Chưa đóng kiện,0_6,Bưu Cục 95A Đội Cấn-Bảo Lộc-Lâm Đồng
20785000,VNGH80634616902,Luân chuyển giao,TTS,Chưa đóng kiện,0_6,Bưu Cục 95A Đội Cấn-Bảo Lộc-Lâm Đồng
20942000,VNGH80393646702,Luân chuyển trả,TTS,Không cần đóng kiện,6_12,Bưu Cục 1322 Hùng Vương-Di Linh-Lâm Đồng
20785000,VNGH80515216903,Luân chuyển giao,TTS,Chưa đóng kiện,0_6,Bưu Cục 95A Đội Cấn-Bảo Lộc-Lâm Đồng
20785000,VNGH80904216903,Luân chuyển giao,TTS,Chưa đóng kiện,0_6,Bưu Cục 95A Đội Cấn-Bảo Lộc-Lâm Đồng
20785000,VNGH80415716904,Luân chuyển giao,TTS,Chưa đóng kiện,0_6,Bưu Cục 95A Đội Cấn-Bảo Lộc-Lâm Đồng
20785000,VNGH80709516904,Luân chuyển giao,TTS,Chưa đóng kiện,0_6,Bưu Cục 95A Đội Cấn-Bảo Lộc-Lâm Đồng
20785000,VNGH80610296903,Luân chuyển giao,TTS,Chưa đóng kiện,0_6,Bưu Cục 95A Đội Cấn-Bảo Lộc-Lâm Đồng
20785000,VNGH80729816902,Luân chuyển giao,TTS,Chưa đóng kiện,0_6,Bưu Cục 95A Đội Cấn-Bảo Lộc-Lâm Đồng
20785000,VNGH80509746902,Luân chuyển giao,TTS,Chưa đóng kiện,0_6,Bưu Cục 95A Đội Cấn-Bảo Lộc-Lâm Đồng
21331000,GHNMP0032308121VNA,Luân chuyển giao,OTHER,Chưa đóng kiện,12_24,Bưu Cục Thôn Dầu Sơn-Cam Lâm-Khánh Hoà
21331000,GYH9MLFN,Luân chuyển trả,OTHER,Chưa đóng kiện,12_24,Bưu Cục Thôn Dầu Sơn-Cam Lâm-Khánh Hoà
20499000,GYH6DL4M,Luân chuyển trả,OTHER,Đã đóng kiện,48_72,Bưu Cục Quốc Lộ 1A-Ninh Phước-Ninh Thuận
20670000,GYHKUCQ3,Luân chuyển giao,SHOPEE,Không cần đóng kiện,12_24,Bưu Cục Đạ Rsal-Đam Rông-Lâm Đồng
20316000,VNGH80431786904,Luân chuyển giao,TTS,Chưa đóng kiện,0_6,Bưu Cục 26A Lê Duẩn-Ninh Sơn-Ninh Thuận
20849000,GYH4RC9W,Luân chuyển giao,SHOPEE,Không cần đóng kiện,12_24,Bưu Cục QL20 Ninh Hòa-Đức Trọng-Lâm Đồng
20316000,VNGH80431586904,Luân chuyển giao,TTS,Chưa đóng kiện,0_6,Bưu Cục 26A Lê Duẩn-Ninh Sơn-Ninh Thuận
20849000,GYHVUF8D,Luân chuyển trả,SHOPEE,Chưa đóng kiện,12_24,Bưu Cục QL20 Ninh Hòa-Đức Trọng-Lâm Đồng
20942000,VNGH80662976608,Luân chuyển trả,TTS,Không cần đóng kiện,6_12,Bưu Cục 1322 Hùng Vương-Di Linh-Lâm Đồng
21294000,NVS780501933,Luân chuyển trả,OTHER,Chưa đóng kiện,12_24,Bưu cục Đinh Văn-Lâm Hà-Lâm Đồng
