Cấp Quản Lý,Chi tiết,Loại Hàng,Time,Volume,% Gán,% GTC,% Chuyển trả,Leadtime,Sản Lượng Giao Thành Công,Sản Lượng Chuyển Trả,Sản Lượng Gán,Sản Lượng Trả,Sản Lượng Tồn,Sản Lượng Chưa Gán,% Chưa Gán,%Tồn,Hàng Mới Về Trong Ngày,Tỉnh,Vùng,AM
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 1,2026-06-07 - Chủ Nhật,20,60.00%,55.00%,0.00%,7.55,11,0,12,0,9,8,40.00%,45.00%,20,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 1,2026-05-27 - Thứ 4,24,91.67%,91.67%,0.00%,5.32,22,0,22,0,2,2,8.33%,8.33%,24,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 1,2026-05-25 - Thứ 2,27,100.00%,81.48%,0.00%,6.77,22,0,27,0,5,0,0.00%,18.52%,27,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 1,2026-05-31 - Chủ Nhật,30,100.00%,76.67%,0.00%,7.83,23,0,30,0,7,0,0.00%,23.33%,30,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 1,2026-06-01 - Thứ 2,28,100.00%,82.14%,0.00%,6.17,23,0,28,0,5,0,0.00%,17.86%,28,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 1,2026-05-29 - Thứ 6,25,100.00%,92.00%,0.00%,5.3,23,0,25,0,2,0,0.00%,8.00%,25,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 1,2026-05-24 - Chủ Nhật,31,87.10%,80.65%,0.00%,6.76,25,0,27,0,6,4,12.90%,19.35%,31,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 1,2026-05-28 - Thứ 5,45,88.89%,64.44%,0.00%,4.41,29,0,40,0,16,5,11.11%,35.56%,45,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 1,2026-05-20 - Thứ 4,33,100.00%,90.91%,0.00%,6.03,30,0,33,0,3,0,0.00%,9.09%,33,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 1,2026-06-04 - Thứ 5,39,100.00%,79.49%,0.00%,7.06,31,0,39,0,8,0,0.00%,20.51%,39,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 1,2026-05-17 - Chủ Nhật,43,88.37%,74.42%,0.00%,7.28,32,0,38,0,11,5,11.63%,25.58%,43,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 1,2026-05-22 - Thứ 6,35,100.00%,94.29%,0.00%,6.82,33,0,35,0,2,0,0.00%,5.71%,35,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 1,2026-06-06 - Thứ 7,36,100.00%,91.67%,0.00%,3.55,33,0,36,0,3,0,0.00%,8.33%,36,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 1,2026-06-08 - Thứ 2,42,97.62%,78.57%,0.00%,9.39,33,0,41,0,9,1,2.38%,21.43%,42,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 1,2026-06-03 - Thứ 4,41,100.00%,85.37%,0.00%,6.49,35,0,41,0,6,0,0.00%,14.63%,41,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 1,2026-05-19 - Thứ 3,44,100.00%,79.55%,0.00%,5.57,35,0,44,0,9,0,0.00%,20.45%,44,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 1,2026-06-05 - Thứ 6,42,100.00%,88.10%,0.00%,6.78,37,0,42,0,5,0,0.00%,11.90%,42,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 1,2026-06-12 - Thứ 6,54,72.22%,68.52%,0.00%,8.05,37,0,39,0,17,15,27.78%,31.48%,54,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 1,2026-06-02 - Thứ 3,44,100.00%,88.64%,0.00%,5.56,39,0,44,0,5,0,0.00%,11.36%,44,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 1,2026-05-18 - Thứ 2,49,93.88%,81.63%,0.00%,7.03,40,0,46,0,9,3,6.12%,18.37%,49,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 1,2026-05-30 - Thứ 7,45,97.78%,88.89%,0.00%,5.58,40,0,44,0,5,1,2.22%,11.11%,45,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 1,2026-05-23 - Thứ 7,53,98.11%,77.36%,0.00%,6.68,41,0,52,0,12,1,1.89%,22.64%,53,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 1,2026-05-21 - Thứ 5,51,92.16%,82.35%,0.00%,6.55,42,0,47,0,9,4,7.84%,17.65%,51,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 1,2026-05-26 - Thứ 3,50,100.00%,86.00%,0.00%,4.84,43,0,50,0,7,0,0.00%,14.00%,50,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 1,2026-06-11 - Thứ 5,63,87.30%,69.84%,0.00%,5.75,44,0,55,0,19,8,12.70%,30.16%,63,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 1,2026-06-13 - Thứ 7,77,87.01%,71.43%,0.00%,14.05,55,0,67,0,22,10,12.99%,28.57%,77,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 1,2026-06-10 - Thứ 4,71,94.37%,77.46%,0.00%,6.96,55,0,67,0,16,4,5.63%,22.54%,71,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 1,2026-06-09 - Thứ 3,74,100.00%,79.73%,0.00%,11.24,59,0,74,0,15,0,0.00%,20.27%,74,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 2,2026-05-31 - Chủ Nhật,41,0.00%,0.00%,0.00%,,0,0,0,0,41,41,100.00%,100.00%,41,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 2,2026-05-18 - Thứ 2,22,0.00%,0.00%,0.00%,,0,0,0,0,22,22,100.00%,100.00%,22,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 2,2026-06-03 - Thứ 4,36,0.00%,0.00%,0.00%,,0,0,0,0,36,36,100.00%,100.00%,36,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 2,2026-06-07 - Chủ Nhật,43,2.33%,0.00%,0.00%,,0,0,1,0,43,42,97.67%,100.00%,43,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 2,2026-05-26 - Thứ 3,34,0.00%,0.00%,0.00%,,0,0,0,0,34,34,100.00%,100.00%,34,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 2,2026-06-11 - Thứ 5,44,0.00%,0.00%,0.00%,,0,0,0,0,44,44,100.00%,100.00%,44,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 2,2026-06-13 - Thứ 7,40,0.00%,0.00%,0.00%,,0,0,0,0,40,40,100.00%,100.00%,40,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 2,2026-05-19 - Thứ 3,48,0.00%,0.00%,0.00%,,0,0,0,0,48,48,100.00%,100.00%,48,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 2,2026-05-17 - Chủ Nhật,25,0.00%,0.00%,0.00%,,0,0,0,0,25,25,100.00%,100.00%,25,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 2,2026-05-25 - Thứ 2,35,0.00%,0.00%,0.00%,,0,0,0,0,35,35,100.00%,100.00%,35,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 2,2026-06-12 - Thứ 6,34,0.00%,0.00%,0.00%,,0,0,0,0,34,34,100.00%,100.00%,34,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 2,2026-06-04 - Thứ 5,36,5.56%,2.78%,0.00%,7,1,0,2,0,35,34,94.44%,97.22%,36,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 2,2026-06-06 - Thứ 7,45,4.44%,4.44%,0.00%,4.5,2,0,2,0,43,43,95.56%,95.56%,45,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 2,2026-05-21 - Thứ 5,37,5.41%,5.41%,0.00%,2.5,2,0,2,0,35,35,94.59%,94.59%,37,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 2,2026-05-22 - Thứ 6,31,9.68%,9.68%,0.00%,2.33,3,0,3,0,28,28,90.32%,90.32%,31,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 2,2026-05-23 - Thứ 7,31,9.68%,9.68%,0.00%,2.67,3,0,3,0,28,28,90.32%,90.32%,31,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 2,2026-06-08 - Thứ 2,55,7.27%,7.27%,0.00%,5.75,4,0,4,0,51,51,92.73%,92.73%,55,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 2,2026-05-24 - Chủ Nhật,33,15.15%,15.15%,0.00%,3.2,5,0,5,0,28,28,84.85%,84.85%,33,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 2,2026-06-10 - Thứ 4,27,25.93%,18.52%,0.00%,6,5,0,7,0,22,20,74.07%,81.48%,27,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 2,2026-05-28 - Thứ 5,40,15.00%,15.00%,0.00%,2.5,6,0,6,0,34,34,85.00%,85.00%,40,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 2,2026-05-20 - Thứ 4,40,15.00%,15.00%,0.00%,5,6,0,6,0,34,34,85.00%,85.00%,40,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 2,2026-06-01 - Thứ 2,29,24.14%,20.69%,0.00%,6,6,0,7,0,23,22,75.86%,79.31%,29,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 2,2026-05-30 - Thứ 7,29,27.59%,20.69%,0.00%,3.33,6,0,8,0,23,21,72.41%,79.31%,29,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 2,2026-05-29 - Thứ 6,36,41.67%,19.44%,0.00%,4,7,0,15,0,29,21,58.33%,80.56%,36,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 2,2026-06-05 - Thứ 6,50,16.00%,16.00%,0.00%,3.25,8,0,8,0,42,42,84.00%,84.00%,50,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 2,2026-06-02 - Thứ 3,42,28.57%,23.81%,0.00%,3.3,10,0,12,0,32,30,71.43%,76.19%,42,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 2,2026-06-09 - Thứ 3,32,40.63%,37.50%,0.00%,4.33,12,0,13,0,20,19,59.37%,62.50%,32,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 2,2026-05-27 - Thứ 4,55,36.36%,32.73%,0.00%,2,18,0,20,0,37,35,63.64%,67.27%,55,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Tồn,2026-06-10 - Thứ 4,52,80.77%,42.31%,1.92%,32.32,22,1,42,1,29,10,19.23%,55.77%,0,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Tồn,2026-05-31 - Chủ Nhật,38,97.37%,68.42%,2.63%,31.38,26,1,37,1,11,1,2.63%,28.95%,0,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Tồn,2026-05-28 - Thứ 5,64,76.56%,42.19%,3.13%,31.22,27,2,49,2,35,15,23.44%,54.68%,0,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Tồn,2026-06-03 - Thứ 4,43,100.00%,62.79%,0.00%,32.15,27,0,43,0,16,0,0.00%,37.21%,0,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Tồn,2026-05-24 - Chủ Nhật,58,77.59%,48.28%,1.72%,31.75,28,1,45,1,29,13,22.41%,50.00%,0,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Tồn,2026-05-21 - Thứ 5,56,89.29%,50.00%,0.00%,28.25,28,0,50,0,28,6,10.71%,50.00%,0,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Tồn,2026-05-27 - Thứ 4,59,91.53%,50.85%,5.08%,27.77,30,3,54,3,26,5,8.47%,44.07%,0,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Tồn,2026-06-02 - Thứ 3,40,100.00%,77.50%,0.00%,31.84,31,0,40,0,9,0,0.00%,22.50%,0,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Tồn,2026-05-22 - Thứ 6,67,88.06%,49.25%,1.49%,27.48,33,1,59,1,33,8,11.94%,49.26%,0,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Tồn,2026-05-26 - Thứ 3,56,98.21%,64.29%,0.00%,28.94,36,0,55,0,20,1,1.79%,35.71%,0,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Tồn,2026-05-23 - Thứ 7,59,100.00%,61.02%,3.39%,37.81,36,2,59,2,21,0,0.00%,35.59%,0,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Tồn,2026-06-05 - Thứ 6,53,100.00%,69.81%,1.89%,28.97,37,1,53,1,15,0,0.00%,28.30%,0,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Tồn,2026-06-11 - Thứ 5,65,72.31%,56.92%,1.54%,36.08,37,1,47,1,27,18,27.69%,41.54%,0,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Tồn,2026-05-30 - Thứ 7,51,100.00%,74.51%,0.00%,37.79,38,0,51,0,13,0,0.00%,25.49%,0,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Tồn,2026-05-25 - Thứ 2,62,98.39%,61.29%,9.68%,32.34,38,6,61,6,18,1,1.61%,29.03%,0,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Tồn,2026-06-07 - Chủ Nhật,62,83.87%,62.90%,0.00%,26.21,39,0,52,0,23,10,16.13%,37.10%,0,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Tồn,2026-06-06 - Thứ 7,60,100.00%,66.67%,0.00%,27.3,40,0,60,0,20,0,0.00%,33.33%,0,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Tồn,2026-05-19 - Thứ 3,64,100.00%,64.06%,6.25%,45.9,41,4,64,4,19,0,0.00%,29.69%,0,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Tồn,2026-05-18 - Thứ 2,84,82.14%,51.19%,4.76%,47.4,43,4,69,4,37,15,17.86%,44.05%,0,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Tồn,2026-06-01 - Thứ 2,57,100.00%,75.44%,0.00%,28.53,43,0,57,0,14,0,0.00%,24.56%,0,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Tồn,2026-06-04 - Thứ 5,57,100.00%,80.70%,0.00%,31.96,46,0,57,0,11,0,0.00%,19.30%,0,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Tồn,2026-06-12 - Thứ 6,89,75.28%,52.81%,3.37%,35.38,47,3,67,3,39,22,24.72%,43.82%,0,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Tồn,2026-05-20 - Thứ 4,75,98.67%,66.67%,2.67%,32.46,50,2,74,2,23,1,1.33%,30.66%,0,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Tồn,2026-06-13 - Thứ 7,89,82.02%,57.30%,5.62%,38.88,51,5,73,5,33,16,17.98%,37.08%,0,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Tồn,2026-06-08 - Thứ 2,73,100.00%,71.23%,2.74%,35.92,52,2,73,2,19,0,0.00%,26.03%,0,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Tồn,2026-05-29 - Thứ 6,81,96.30%,67.90%,4.94%,36.55,55,4,78,4,22,3,3.70%,27.16%,0,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Tồn,2026-05-17 - Chủ Nhật,111,77.48%,51.35%,1.80%,37.16,57,2,86,2,52,25,22.52%,46.85%,0,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Tồn,2026-06-09 - Thứ 3,76,100.00%,76.32%,0.00%,30.52,58,0,76,0,18,0,0.00%,23.68%,0,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,BC Đắk Mil-Đắk Nông,Hàng Mới Ca 1,2026-06-05 - Thứ 6,249,100.00%,85.14%,0.00%,13.72,212,0,249,0,37,0,0.00%,14.86%,249,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,BC Đắk Mil-Đắk Nông,Hàng Mới Ca 1,2026-05-31 - Chủ Nhật,246,99.59%,83.33%,0.00%,14.63,205,0,245,0,41,1,0.41%,16.67%,246,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,BC Đắk Mil-Đắk Nông,Hàng Mới Ca 1,2026-05-18 - Thứ 2,268,99.25%,87.31%,0.00%,16.2,234,0,266,0,34,2,0.75%,12.69%,268,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,BC Đắk Mil-Đắk Nông,Hàng Mới Ca 1,2026-06-03 - Thứ 4,343,99.71%,86.01%,0.00%,13.4,295,0,342,0,48,1,0.29%,13.99%,343,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,BC Đắk Mil-Đắk Nông,Hàng Mới Ca 1,2026-06-07 - Chủ Nhật,252,100.00%,78.57%,0.00%,11.44,198,0,252,0,54,0,0.00%,21.43%,252,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,BC Đắk Mil-Đắk Nông,Hàng Mới Ca 1,2026-05-28 - Thứ 5,284,99.30%,84.51%,0.00%,15.11,240,0,282,0,44,2,0.70%,15.49%,284,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,BC Đắk Mil-Đắk Nông,Hàng Mới Ca 1,2026-05-26 - Thứ 3,252,99.60%,77.78%,0.00%,10.71,196,0,251,0,56,1,0.40%,22.22%,252,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,BC Đắk Mil-Đắk Nông,Hàng Mới Ca 1,2026-05-24 - Chủ Nhật,278,100.00%,85.61%,0.00%,11.99,238,0,278,0,40,0,0.00%,14.39%,278,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,BC Đắk Mil-Đắk Nông,Hàng Mới Ca 1,2026-06-11 - Thứ 5,274,99.64%,84.31%,0.00%,14.59,231,0,273,0,43,1,0.36%,15.69%,274,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,BC Đắk Mil-Đắk Nông,Hàng Mới Ca 1,2026-06-04 - Thứ 5,325,100.00%,81.85%,0.00%,13.38,266,0,325,0,59,0,0.00%,18.15%,325,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,BC Đắk Mil-Đắk Nông,Hàng Mới Ca 1,2026-05-27 - Thứ 4,229,99.56%,83.84%,0.00%,12.77,192,0,228,0,37,1,0.44%,16.16%,229,Đắk Nông,NTB,Trần Thị Nhung
