tutinh,kholay,NgayLTC,khung_gio_tao_don,ly_do_tre_12h,sellername,vol_ltc,tuan,vung,ot,Tuần,AM,Khung giờ tạo,Đơn trễ
Lâm Đồng,Bưu cục Ngô Thỳ Sỹ-Đà Lạt-Lâm Đồng,2026-06-13,1.Tạo trước 9h,4.Khác,SONDA GARDEN - Sen đá Đà Lạt,4,24,NTB,0,W24,Lê Minh Đại,2.Tạo từ 19h-9h,4
Khánh Hòa,Bưu Cục Đường Tỉnh Lộ 10-Xã Diên Thọ-Khánh Hòa,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Tiệm scrunchie nhà quyt.s,13,24,NTB,13,W24,Nguyễn Hoàng Phi,1.Tạo từ 9h-19h,0
Lâm Đồng,Bưu cục Đinh Văn-Lâm Hà-Lâm Đồng,2026-06-13,3.Tạo sau 19h,4.Khác,Quầy thuốc 62 ladophar Thanh nga,2,24,NTB,0,W24,Huỳnh Thị Kim Chi,2.Tạo từ 19h-9h,2
Khánh Hòa,Bưu Cục 195 Đường 2/4-Nha Trang-Khánh Hòa,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,FOUR EYES STUDIO,2,24,NTB,2,W24,Phạm Bá Thành Công,1.Tạo từ 9h-19h,0
Đắk Nông,Bưu Cục 53 Tôn Đức Thắng-Nghĩa Thành-Gia Nghĩa-Đắk Nông,2026-06-13,3.Tạo sau 19h,1.Gan_tre,Zozo Shop 1339,1,24,NTB,0,W24,Trần Văn Phước,2.Tạo từ 19h-9h,1
Bình Thuận,Bưu Cục 430 Tôn Đức Thắng-Tân Phước-Thị xã La Gi-Bình Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Hạt giống Hoa & Rau,1,24,NTB,1,W24,Huỳnh Tấn Hiền,1.Tạo từ 9h-19h,0
Đắk Nông,Bưu Cục Hùng Vương-Nghĩa Trung-Gia Nghĩa-Đắk Nông,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Racing 945 Shop,1,24,NTB,1,W24,Trần Công Hậu,1.Tạo từ 9h-19h,0
Lâm Đồng,Bưu Cục Cao Bá Quát-Phường 7-Đà Lạt-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Langfarm - Đặc Sản Chất Lượng,10,24,NTB,10,W24,Lê Minh Đại,1.Tạo từ 9h-19h,0
Lâm Đồng,Bưu Cục 95A Đội Cấn-Bảo Lộc-Lâm Đồng,2026-06-13,1.Tạo trước 9h,4.Khác,Chị Ba Bán Dừa,1,24,NTB,0,W24,Hồng Bích Nga,2.Tạo từ 19h-9h,1
Bình Thuận,Bưu Cục Xã Nam Chính-Đức Linh-Bình Thuận,2026-06-13,1.Tạo trước 9h,0.Ontime OPR,LY ĐẶNG X7,4,24,NTB,4,W24,Huỳnh Tấn Hiền,2.Tạo từ 19h-9h,0
Lâm Đồng,Bưu Cục TDP Ba Đình-Lâm Hà-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,1.Gan_tre,Xưởng In Ngoan Xinh Yêu,1,24,NTB,0,W24,Huỳnh Thị Kim Chi,1.Tạo từ 9h-19h,1
Lâm Đồng,Bưu Cục 468 Quốc Lộ 20-Liên Nghĩa-Đức Trọng-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,FUNOVietnam,5,24,NTB,5,W24,Trầm Hữu Tiến,1.Tạo từ 9h-19h,0
Khánh Hòa,Bưu Cục 06 Lê Hồng Phong-TP.Nha Trang-Khánh Hòa,2026-06-13,2.Tạo từ 9h-19h,4.Khác,Shop len sợi Thùy,1,24,NTB,0,W24,Thái Thị Thanh Thư,1.Tạo từ 9h-19h,1
Bình Thuận,Bưu Cục Phú Tài-Phan Thiết-Bình Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Kho Sỉ Giá Gốc,1,24,NTB,1,W24,Nguyễn Ngọc Khánh,1.Tạo từ 9h-19h,0
Ninh Thuận,Bưu Cục Quốc Lộ 1A-Ninh Phước-Ninh Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,YẾN BIGSIZE UNISEX,2,24,NTB,2,W24,Nguyễn Duy Long,1.Tạo từ 9h-19h,0
Khánh Hòa,Bưu Cục 229 Phước Long-Nam Nha Trang-Khánh Hòa,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Taki Deli Việt Nam,48,24,NTB,48,W24,Thái Thị Thanh Thư,1.Tạo từ 9h-19h,0
Lâm Đồng,Bưu cục 1479 Trần Phú-Lộc Châu-Bảo Lộc-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Trà Tằng Vĩnh An Lâm Đồng,156,24,NTB,156,W24,Nguyễn Lê Nguyên Vũ,1.Tạo từ 9h-19h,0
Ninh Thuận,Bưu Cục 95 Thống Nhất-Phan Rang-Ninh Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Tiệm Quê Nhà - Since 2018,57,24,NTB,57,W24,Nguyễn Duy Long,1.Tạo từ 9h-19h,0
Lâm Đồng,Bưu cục 1479 Trần Phú-Lộc Châu-Bảo Lộc-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,2.Khách hẹn lại,LUNASTORES SHOPss,3,24,NTB,0,W24,Nguyễn Lê Nguyên Vũ,1.Tạo từ 9h-19h,3
Lâm Đồng,Bưu Cục 300 Tự Phước-Đà Lạt-Lâm Đồng,2026-06-13,1.Tạo trước 9h,4.Khác,DALATFARM1994,9,24,NTB,0,W24,Lê Văn Trường,2.Tạo từ 19h-9h,9
Ninh Thuận,Bưu Cục 26A Lê Duẩn-Ninh Sơn-Ninh Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Nhang Hiệp Hưng,92,24,NTB,92,W24,Nguyễn Duy Long,1.Tạo từ 9h-19h,0
Khánh Hòa,Bưu Cục 466 Đường 23/10-Nha Trang-Khánh Hòa,2026-06-13,1.Tạo trước 9h,0.Ontime OPR,Shop Đồ Bộ Hằng,5,24,NTB,5,W24,Phan Đình Duy,2.Tạo từ 19h-9h,0
Lâm Đồng,Bưu cục Ngô Thỳ Sỹ-Đà Lạt-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Quầy 228 khu A chợ Đà Lạt,72,24,NTB,72,W24,Lê Minh Đại,1.Tạo từ 9h-19h,0
Lâm Đồng,Bưu cục Ngô Thỳ Sỹ-Đà Lạt-Lâm Đồng,2026-06-13,3.Tạo sau 19h,4.Khác,SONDA GARDEN - Sen đá Đà Lạt,1,24,NTB,0,W24,Lê Minh Đại,2.Tạo từ 19h-9h,1
Ninh Thuận,Bưu Cục 51 Phạm Ngọc Thạch-Ninh Hải-Ninh Thuận,2026-06-13,1.Tạo trước 9h,4.Khác,Xưởng gia công các loại,2,24,NTB,0,W24,Nguyễn Duy Long,2.Tạo từ 19h-9h,2
Khánh Hòa,Bưu Cục 195 Đường 2/4-Nha Trang-Khánh Hòa,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Cái Tiệm Áo Thun TEETREND,5,24,NTB,5,W24,Phạm Bá Thành Công,1.Tạo từ 9h-19h,0
Lâm Đồng,Bưu cục Ngô Thỳ Sỹ-Đà Lạt-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,SONDA GARDEN - Sen đá Đà Lạt,2,24,NTB,2,W24,Lê Minh Đại,1.Tạo từ 9h-19h,0
Khánh Hòa,Bưu Cục 56 Phan Đình Phùng-Cam Linh-Khánh Hòa,2026-06-13,3.Tạo sau 19h,0.Ontime OPR,Quầy Thuốc Huyền My 1,1,24,NTB,1,W24,Thái Thị Thanh Thư,2.Tạo từ 19h-9h,0
Khánh Hòa,Bưu Cục 195 Đường 2/4-Nha Trang-Khánh Hòa,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,TANKOO LABEL,1,24,NTB,1,W24,Phạm Bá Thành Công,1.Tạo từ 9h-19h,0
Bình Thuận,Bưu Cục Phú Thủy-Phan Thiết-Bình Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Nước tương Shiitake,4,24,NTB,4,W24,Nguyễn Ngọc Khánh,1.Tạo từ 9h-19h,0
Lâm Đồng,Bưu cục Ngô Thỳ Sỹ-Đà Lạt-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,ĐẶC SẢN XỨ ĐÀ LẠT,4,24,NTB,4,W24,Lê Minh Đại,1.Tạo từ 9h-19h,0
Lâm Đồng,Bưu Cục 95A Đội Cấn-Bảo Lộc-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,YuanNguyen,2,24,NTB,2,W24,Hồng Bích Nga,1.Tạo từ 9h-19h,0
Khánh Hòa,Bưu Cục 195 Đường 2/4-Nha Trang-Khánh Hòa,2026-06-13,1.Tạo trước 9h,0.Ontime OPR,Gia dụng VIệt - Cozy Home,7,24,NTB,7,W24,Phạm Bá Thành Công,2.Tạo từ 19h-9h,0
Ninh Thuận,Bưu Cục Quốc Lộ 1A-Ninh Phước-Ninh Thuận,2026-06-13,1.Tạo trước 9h,4.Khác,Nông trại Hoàng Yến,1,24,NTB,0,W24,Nguyễn Duy Long,2.Tạo từ 19h-9h,1
Bình Thuận,Bưu Cục 16 Huỳnh Thúc Kháng-Phan Thiết-Bình Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Cami.cosmetic,4,24,NTB,4,W24,Nguyễn Ngọc Khánh,1.Tạo từ 9h-19h,0
Bình Thuận,Bưu Cục Số 7 Lê Thánh Tôn-LaGi-Bình Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Máy Đảo Thuốc Gia Long,3,24,NTB,3,W24,Huỳnh Tấn Hiền,1.Tạo từ 9h-19h,0
Bình Thuận,Bưu Cục Hàm Liêm-Hàm Thuận Bắc-Bình Thuận,2026-06-13,1.Tạo trước 9h,4.Khác,XP-MINISHOP,1,24,NTB,0,W24,Nguyễn Ngọc Khánh,2.Tạo từ 19h-9h,1
Lâm Đồng,Bưu Cục TDP Ba Đình-Lâm Hà-Lâm Đồng,2026-06-13,1.Tạo trước 9h,4.Khác,H-Linh,3,24,NTB,0,W24,Huỳnh Thị Kim Chi,2.Tạo từ 19h-9h,3
Ninh Thuận,Bưu Cục 95 Thống Nhất-Phan Rang-Ninh Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,FRM NUTS,1,24,NTB,1,W24,Nguyễn Duy Long,1.Tạo từ 9h-19h,0
Ninh Thuận,Bưu Cục 254A Đường 21 tháng 8-Phan Rang-Tháp Chàm-Ninh Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Kho Hàng Tổng Hợp AT,5,24,NTB,5,W24,Nguyễn Duy Long,1.Tạo từ 9h-19h,0
Đắk Nông,Bưu Cục Hùng Vương-Nghĩa Trung-Gia Nghĩa-Đắk Nông,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,lalamocmien1,79,24,NTB,79,W24,Trần Công Hậu,1.Tạo từ 9h-19h,0
Lâm Đồng,Bưu cục Ngô Thỳ Sỹ-Đà Lạt-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,3.Không liên lạc được,SONDA GARDEN - Sen đá Đà Lạt,1,24,NTB,0,W24,Lê Minh Đại,1.Tạo từ 9h-19h,1
Khánh Hòa,Bưu Cục Tổ Dân Phố 2-Ninh Hoà-Khánh Hoà,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Yumi Mall,2,24,NTB,2,W24,Phạm Bá Thành Công,1.Tạo từ 9h-19h,0
Ninh Thuận,Bưu Cục Quốc Lộ 1A-Ninh Phước-Ninh Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Đặc sản Ninh thuận. Vũ farm,1,24,NTB,1,W24,Nguyễn Duy Long,1.Tạo từ 9h-19h,0
Bình Thuận,Bưu Cục Phú Tài-Phan Thiết-Bình Thuận,2026-06-13,1.Tạo trước 9h,0.Ontime OPR,Nhà Phân Phối Ngọc Phúc,1,24,NTB,1,W24,Nguyễn Ngọc Khánh,2.Tạo từ 19h-9h,0
Lâm Đồng,Bưu Cục 95A Đội Cấn-Bảo Lộc-Lâm Đồng,2026-06-13,1.Tạo trước 9h,0.Ontime OPR,KEM JP THAO,1,24,NTB,1,W24,Hồng Bích Nga,2.Tạo từ 19h-9h,0
Ninh Thuận,Bưu Cục Quốc Lộ 1A-Ninh Phước-Ninh Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Nho Giống Minh Hoàng,27,24,NTB,27,W24,Nguyễn Duy Long,1.Tạo từ 9h-19h,0
Khánh Hòa,Bưu Cục Phước Đồng-Nha Trang-Khánh Hoà,2026-06-13,3.Tạo sau 19h,4.Khác,Làng Nghề Lưới Cước,1,24,NTB,0,W24,Thái Thị Thanh Thư,2.Tạo từ 19h-9h,1
Lâm Đồng,Bưu Cục Lê Hồng Phong-Liên Hiệp-Đức Trọng-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,HOÀNG  PP SHOP,9,24,NTB,9,W24,Võ Tấn Lợi,1.Tạo từ 9h-19h,0
Khánh Hòa,Bưu Cục Đường Tỉnh Lộ 10-Xã Diên Thọ-Khánh Hòa,2026-06-13,1.Tạo trước 9h,0.Ontime OPR,Quầy thuốc Y Đức,3,24,NTB,3,W24,Nguyễn Hoàng Phi,2.Tạo từ 19h-9h,0
Khánh Hòa,Bưu Cục Thôn Phú An Nam 2-Xã Diên Khánh-Khánh Hòa,2026-06-13,2.Tạo từ 9h-19h,1.Gan_tre,Mr Nghiệp - Đặc Sản 79 Food,1,24,NTB,0,W24,Nguyễn Hoàng Phi,1.Tạo từ 9h-19h,1
Khánh Hòa,Bưu Cục Thôn Long Hoà-Vạn Long-Vạn Ninh-Khánh Hoà,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Gia dụng nhà Gạo Gạo,6,24,NTB,6,W24,Phạm Bá Thành Công,1.Tạo từ 9h-19h,0
Khánh Hòa,Bưu Cục Thôn Phú An Nam 2-Xã Diên Khánh-Khánh Hòa,2026-06-13,3.Tạo sau 19h,0.Ontime OPR,Mr Nghiệp - Đặc Sản 79 Food,4,24,NTB,4,W24,Nguyễn Hoàng Phi,2.Tạo từ 19h-9h,0
Bình Thuận,Bưu Cục Xã Nam Chính-Đức Linh-Bình Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Cốt Bí Xanh Detox Vip,7,24,NTB,7,W24,Huỳnh Tấn Hiền,1.Tạo từ 9h-19h,0
Ninh Thuận,Bưu Cục Quốc Lộ 1A-Ninh Phước-Ninh Thuận,2026-06-13,3.Tạo sau 19h,4.Khác,Nguyễn Hoà 1,2,24,NTB,0,W24,Nguyễn Duy Long,2.Tạo từ 19h-9h,2
Bình Thuận,Bưu cục DT707-Hàm Thuận Nam-Bình Thuận,2026-06-13,1.Tạo trước 9h,0.Ontime OPR,Đồ Nghề Chuyên Nghiệp,1,24,NTB,1,W24,Lê Thanh Nhựt,2.Tạo từ 19h-9h,0
Đắk Nông,Bưu Cục Hùng Vương-Nghĩa Trung-Gia Nghĩa-Đắk Nông,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,LaLa Mộc Miên,1,24,NTB,1,W24,Trần Công Hậu,1.Tạo từ 9h-19h,0
Bình Thuận,Bưu Cục Xã Nam Chính-Đức Linh-Bình Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,ShopVinhThuySang,7,24,NTB,7,W24,Huỳnh Tấn Hiền,1.Tạo từ 9h-19h,0
Lâm Đồng,Bưu Cục Số 6 Trương Văn Hoàn-Phường 9-Đà Lạt-Lâm Đồng,2026-06-13,3.Tạo sau 19h,4.Khác,Lucky scoops Việt Nam,1,24,NTB,0,W24,Lê Văn Trường,2.Tạo từ 19h-9h,1
Bình Thuận,Bưu Cục 585 Nguyễn Tất Thành-Xã Lương Sơn-Bình Thuận,2026-06-13,1.Tạo trước 9h,0.Ontime OPR,Mask Nhà Maiiii,1,24,NTB,1,W24,Nguyễn Ngọc Khánh,2.Tạo từ 19h-9h,0
Bình Thuận,Bưu Cục Số 7 Lê Thánh Tôn-LaGi-Bình Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Nông Nghiệp Thịnh Vượng 30,1,24,NTB,1,W24,Huỳnh Tấn Hiền,1.Tạo từ 9h-19h,0
Bình Thuận,Bưu Cục Phú Thủy-Phan Thiết-Bình Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,ÚT DIỆP TRANG SỨC,2,24,NTB,2,W24,Nguyễn Ngọc Khánh,1.Tạo từ 9h-19h,0
Bình Thuận,Bưu Cục Xã Nam Chính-Đức Linh-Bình Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,LY ĐẶNG X7,13,24,NTB,13,W24,Huỳnh Tấn Hiền,1.Tạo từ 9h-19h,0
Đắk Nông,Bưu Cục 53 Tôn Đức Thắng-Nghĩa Thành-Gia Nghĩa-Đắk Nông,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Zozo Shop 1339,3,24,NTB,3,W24,Trần Văn Phước,1.Tạo từ 9h-19h,0
Lâm Đồng,Bưu Cục Số 6 Trương Văn Hoàn-Phường 9-Đà Lạt-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Bách hoá xanh Thanh,1,24,NTB,1,W24,Lê Văn Trường,1.Tạo từ 9h-19h,0
Khánh Hòa,Bưu Cục Đường 35 Hà Quang 1-Xã Nam Nha Trang-Khánh Hòa,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,chuyên sỉ và lẻ lốp xe,1,24,NTB,1,W24,Thái Thị Thanh Thư,1.Tạo từ 9h-19h,0
Khánh Hòa,Bưu Cục Phước Đồng-Nha Trang-Khánh Hoà,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Duonguyen2212,3,24,NTB,3,W24,Thái Thị Thanh Thư,1.Tạo từ 9h-19h,0
Khánh Hòa,Bưu Cục 195 Đường 2/4-Nha Trang-Khánh Hòa,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,September Boutique Closet,1,24,NTB,1,W24,Phạm Bá Thành Công,1.Tạo từ 9h-19h,0
Khánh Hòa,Bưu Cục Thôn Phú An Nam 2-Xã Diên Khánh-Khánh Hòa,2026-06-13,1.Tạo trước 9h,0.Ontime OPR,Start-up Cafe food 30s,9,24,NTB,9,W24,Nguyễn Hoàng Phi,2.Tạo từ 19h-9h,0
Ninh Thuận,Bưu Cục 26A Lê Duẩn-Ninh Sơn-Ninh Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Đồ ngâm Huế,2,24,NTB,2,W24,Nguyễn Duy Long,1.Tạo từ 9h-19h,0
Bình Thuận,Bưu Cục Phú Thủy-Phan Thiết-Bình Thuận,2026-06-13,1.Tạo trước 9h,0.Ontime OPR,ÚT DIỆP TRANG SỨC,1,24,NTB,1,W24,Nguyễn Ngọc Khánh,2.Tạo từ 19h-9h,0
Lâm Đồng,Bưu Cục 412 Nguyễn Văn Cừ-Lộc Phát-Bảo Lộc-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,1.Gan_tre,Phụ Tùng Trung Thành,1,24,NTB,0,W24,Hồng Bích Nga,1.Tạo từ 9h-19h,1
Đắk Nông,Bưu Cục Đắk Mil-Đắk Nông,2026-06-13,1.Tạo trước 9h,2.Khách hẹn lại,Nguyễn Thanh Farm,2,24,NTB,0,W24,Trần Thị Nhung,2.Tạo từ 19h-9h,2
Bình Thuận,Bưu cục DT707-Hàm Thuận Nam-Bình Thuận,2026-06-13,1.Tạo trước 9h,4.Khác,Shop M garden,2,24,NTB,0,W24,Lê Thanh Nhựt,2.Tạo từ 19h-9h,2
Bình Thuận,Bưu Cục 430 Tôn Đức Thắng-Tân Phước-Thị xã La Gi-Bình Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,BIU.shop,4,24,NTB,4,W24,Huỳnh Tấn Hiền,1.Tạo từ 9h-19h,0
Lâm Đồng,Bưu Cục 412 Nguyễn Văn Cừ-Lộc Phát-Bảo Lộc-Lâm Đồng,2026-06-13,1.Tạo trước 9h,4.Khác,Thư Ú Mall,5,24,NTB,0,W24,Hồng Bích Nga,2.Tạo từ 19h-9h,5
Bình Thuận,Bưu Cục Phú Thủy-Phan Thiết-Bình Thuận,2026-06-13,1.Tạo trước 9h,4.Khác,Lara Ơi,1,24,NTB,0,W24,Nguyễn Ngọc Khánh,2.Tạo từ 19h-9h,1
Bình Thuận,Bưu Cục Phú Tài-Phan Thiết-Bình Thuận,2026-06-13,3.Tạo sau 19h,0.Ontime OPR,Nami Boutique.167,1,24,NTB,1,W24,Nguyễn Ngọc Khánh,2.Tạo từ 19h-9h,0
Lâm Đồng,Bưu Cục 44B Nguyễn Đình Chiểu-Đạ Teh-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Nấm Store LD,1,24,NTB,1,W24,Huỳnh Tấn Hiền,1.Tạo từ 9h-19h,0
Bình Thuận,Bưu Cục 237 Nguyễn Tất Thành-Bắc Bình-Bình Thuận,2026-06-13,3.Tạo sau 19h,0.Ontime OPR,SảnPhẩmNôngnghiệp,12,24,NTB,12,W24,Nguyễn Ngọc Khánh,2.Tạo từ 19h-9h,0
Bình Thuận,Bưu Cục 46 Hùng Vương-Hàm Tân-Bình Thuận,2026-06-13,3.Tạo sau 19h,4.Khác,THANH THUYẾT GANA,2,24,NTB,0,W24,Lê Thanh Nhựt,2.Tạo từ 19h-9h,2
Đắk Nông,Bưu Cục 53 Tôn Đức Thắng-Nghĩa Thành-Gia Nghĩa-Đắk Nông,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,NAMI SHOP 3968,10,24,NTB,10,W24,Trần Văn Phước,1.Tạo từ 9h-19h,0
Bình Thuận,Bưu Cục Phú Thủy-Phan Thiết-Bình Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Phụ Kiện Girls Xinh,24,24,NTB,24,W24,Nguyễn Ngọc Khánh,1.Tạo từ 9h-19h,0
