tutinh,kholay,NgayLTC,khung_gio_tao_don,ly_do_tre_12h,sellername,vol_ltc,tuan,vung,ot,Tuần,AM,Khung giờ tạo,Đơn trễ
Khánh Hòa,Bưu Cục 195 Đường 2/4-Nha Trang-Khánh Hòa,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Áo Thun Oh Là La,3,24,NTB,3,W24,Phạm Bá Thành Công,1.Tạo từ 9h-19h,0
Lâm Đồng,Bưu Cục Lê Hồng Phong-Liên Hiệp-Đức Trọng-Lâm Đồng,2026-06-13,1.Tạo trước 9h,4.Khác,Minipijama001,25,24,NTB,0,W24,Võ Tấn Lợi,2.Tạo từ 19h-9h,25
Lâm Đồng,Bưu cục 1479 Trần Phú-Lộc Châu-Bảo Lộc-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Bông Store-Chuyên Hàng Nga,14,24,NTB,14,W24,Nguyễn Lê Nguyên Vũ,1.Tạo từ 9h-19h,0
Lâm Đồng,Bưu Cục QL20 Ninh Hòa-Đức Trọng-Lâm Đồng,2026-06-13,1.Tạo trước 9h,4.Khác,DEGO.TOYS 2,1,24,NTB,0,W24,Võ Tấn Lợi,2.Tạo từ 19h-9h,1
Ninh Thuận,Bưu Cục Quốc Lộ 1A-Ninh Phước-Ninh Thuận,2026-06-13,3.Tạo sau 19h,1.Gan_tre,SALA Gốm Chăm,1,24,NTB,0,W24,Nguyễn Duy Long,2.Tạo từ 19h-9h,1
Bình Thuận,Bưu Cục Hàm Liêm-Hàm Thuận Bắc-Bình Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Cửa Hàng Bảo Ngọc,1,24,NTB,1,W24,Nguyễn Ngọc Khánh,1.Tạo từ 9h-19h,0
Khánh Hòa,Bưu Cục Thôn Xuân Hoà 1-Ninh Hoà-Khánh Hoà,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Nem Chả Hùng Phụng Ninh Hoà,21,24,NTB,21,W24,Phạm Bá Thành Công,1.Tạo từ 9h-19h,0
Lâm Đồng,Bưu Cục 44B Nguyễn Đình Chiểu-Đạ Teh-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,2.Khách hẹn lại,Nấm Store LD,2,24,NTB,0,W24,Huỳnh Tấn Hiền,1.Tạo từ 9h-19h,2
Lâm Đồng,Bưu Cục 95A Đội Cấn-Bảo Lộc-Lâm Đồng,2026-06-13,3.Tạo sau 19h,0.Ontime OPR,KEM JP THAO,1,24,NTB,1,W24,Hồng Bích Nga,2.Tạo từ 19h-9h,0
Bình Thuận,Bưu cục 47 Trần Hưng Đạo-Hàm Thuận Nam-Bình Thuận,2026-06-13,1.Tạo trước 9h,4.Khác,Happy kids shop.,1,24,NTB,0,W24,Lê Thanh Nhựt,2.Tạo từ 19h-9h,1
Lâm Đồng,Bưu Cục 190/11 Phù Đổng Thiên Vương-Phường 8-Đà Lạt-Lâm Đồng,2026-06-13,3.Tạo sau 19h,1.Gan_tre,Ari Koi Store,2,24,NTB,0,W24,Lê Văn Trường,2.Tạo từ 19h-9h,2
Lâm Đồng,Bưu Cục 95A Đội Cấn-Bảo Lộc-Lâm Đồng,2026-06-13,1.Tạo trước 9h,0.Ontime OPR,TỔNG KHO HÀNG LD,39,24,NTB,39,W24,Hồng Bích Nga,2.Tạo từ 19h-9h,0
Lâm Đồng,Bưu Cục Thôn R'Chai 2-Xã Đức Trọng-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Hồng Xương,4,24,NTB,4,W24,Trầm Hữu Tiến,1.Tạo từ 9h-19h,0
Khánh Hòa,Bưu Cục 56 Phan Đình Phùng-Cam Linh-Khánh Hòa,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,THE CÓI,5,24,NTB,5,W24,Thái Thị Thanh Thư,1.Tạo từ 9h-19h,0
Khánh Hòa,Bưu Cục 36 Bà Triệu-Vạn Ninh-Khánh Hoà,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,MỸ PHẨM NHẬT VY 03,3,24,NTB,3,W24,Phạm Bá Thành Công,1.Tạo từ 9h-19h,0
Ninh Thuận,Bưu Cục 254A Đường 21 tháng 8-Phan Rang-Tháp Chàm-Ninh Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Cửa hàng đặc sản Ninh Thuận,3,24,NTB,3,W24,Nguyễn Duy Long,1.Tạo từ 9h-19h,0
Lâm Đồng,Bưu Cục 44B Nguyễn Đình Chiểu-Đạ Teh-Lâm Đồng,2026-06-13,1.Tạo trước 9h,0.Ontime OPR,Điện Máy Tổng Hợp 24h,68,24,NTB,68,W24,Huỳnh Tấn Hiền,2.Tạo từ 19h-9h,0
Bình Thuận,Bưu Cục Phú Tài-Phan Thiết-Bình Thuận,2026-06-13,1.Tạo trước 9h,4.Khác,Cô Ba nail,1,24,NTB,0,W24,Nguyễn Ngọc Khánh,2.Tạo từ 19h-9h,1
Khánh Hòa,Bưu Cục 195 Đường 2/4-Nha Trang-Khánh Hòa,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,MIN FAHSION,1,24,NTB,1,W24,Phạm Bá Thành Công,1.Tạo từ 9h-19h,0
Ninh Thuận,Bưu Cục 95 Thống Nhất-Phan Rang-Ninh Thuận,2026-06-13,3.Tạo sau 19h,4.Khác,Lâm riewiew,1,24,NTB,0,W24,Nguyễn Duy Long,2.Tạo từ 19h-9h,1
